A	mak	q	z	x	gen
H22	372.69	140.16	115.45	136.07	223.78
H23	365.53	134.85	114.51	2.12	219.12
H24	369.35	72.65	121.84	2.20	215.94
H25	364.67	73.83	98.15	2.20	217.76
H26	355.68	73.32	97.66	2.27	79.65
H27	361.32	79.70	97.35	1.08	80.17
H28	468.52	80.60	98.54	1.02	82.18
H29	465.99	78.61	96.48	0.99	78.36
H30	241.42	79.81	96.38	1.04	78.36
H31	206.67	42.84	100.16	1.13	89.04
H32	209.07	43.17	87.70	1.05	71.48
H33	221.39	25.59	89.09	1.60	71.73
H34	210.13	25.46	89.08	1.04	72.56
H35	209.57	26.20	70.55	0.98	50.26
H36	208.68	25.49	69.89	1.01	49.77
H37	205.93	24.74	69.96	0.96	48.83
H38	204.06	25.06	70.22	0.99	49.89
H39	210.23	26.34	66.26	1.00	50.19
H40	208.06	24.71	55.38	1.04	42.98

B	mak	q	z	x	gen
H22	68.57	4.99	12.19	15.69	26.66
H23	68.42	4.86	12.26	0.46	26.59
H24	69.11	3.65	12.29	0.47	26.68
H25	65.21	3.66	4.94	0.46	26.20
H26	67.66	3.66	4.92	0.48	4.48
H27	76.17	3.68	5.03	0.19	4.48
H28	89.32	3.56	4.93	0.18	4.48
H29	89.84	3.77	5.16	0.20	4.67
H30	77.58	3.65	5.08	0.20	4.55
H31	74.05	1.42	6.57	0.19	6.04
H32	73.63	1.30	4.83	0.19	4.04
H33	75.28	0.89	4.77	0.19	4.00
H34	73.13	0.84	4.72	0.19	3.94
H35	75.37	0.87	4.37	0.20	3.76
H36	10.34	0.80	4.37	0.20	3.70
H37	10.66	0.82	3.55	0.19	2.95
H38	10.47	0.82	3.30	0.19	2.63
H39	10.27	0.84	2.92	0.18	2.50
H40	10.65	0.88	2.90	0.19	2.52
